Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,GOOG,MSFT,NVDA,GOOG,MSFT,NVDA,GOOG,MSFT,NVDA,GOOG,MSFT,NVDA,GOOG,MSFT,NVDA
Date,,,,,,,,,,,,,,,
2023-01-03,89.27713775634766,235.24002075195312,14.303278923034668,91.1184226545952,241.2982496784464,14.983722051275688,88.6003430742412,233.09950356417312,14.084458370348052,89.40652977671246,238.67661840759735,14.838840315183736,20738500.0,25740000,401277000
2023-01-04,88.29180908203125,224.94985961914062,14.736923217773438,90.8098811314599,228.65155528390636,14.840838154777497,87.38610288413852,221.86674131670614,14.229339743985019,90.58096963247291,228.07224672935166,14.555073030909787,27046500.0,50623400,431324000
2023-01-05,86.36094665527344,218.2828826904297,14.253320693969727,87.7941606559298,223.42796620859252,14.552075670491968,86.15193754574908,217.7428428679085,14.136415909839469,87.65482124958022,223.0843004172486,14.479135485903637,23136100.0,39585600,389168000
2023-01-06,87.7444076538086,220.85540771484375,14.846835136413574,88.05294384962349,221.67037414337992,14.997711535520914,85.16661325169555,215.376502057129,14.0225107548316,86.94817590492201,218.96037666884743,14.462150107377472,26612600.0,43613600,405044000
2023-01-09,88.38138580322266,223.0057373046875,15.615203857421875,90.40181484744842,227.05111407181693,16.042852902543725,88.1624217030434,222.30860727948638,15.12860215409785,88.7745203696875,222.34787609092098,15.271485666138863,22996700.0,27369800,504231000
2023-01-10,88.81930541992188,224.7043914794922,15.895976066589355,89.05319819764858,227.11982022415233,15.948932173589144,86.29127849832223,223.21192206293,15.459333553934178,86.31118846725929,223.6341254274707,15.49430474778188,22855600.0,27033900,384101000
2023-01-11,91.82508087158203,231.49903869628906,15.987898826599121,92.01418003236891,231.67577081089505,16.01487714757313,89.31695610724726,226.92345084138603,15.550257708216126,89.63544729709926,227.100182955992,15.827031344724569,25998800.0,28669300,353285000
2023-01-12,91.47673797607422,234.18939208984375,16.497482299804688,92.18339010996303,235.5542116762938,16.62337859607864,90.14305081561142,229.32906420902535,15.479316490900496,91.96442597963112,230.99826575626707,16.086819482461305,22754200.0,27269500,551409000
2023-01-13,92.36253356933594,234.8963623046875,16.885162353515625,92.54168533315664,235.0338256158968,16.90814423644885,90.50134622261136,230.6644400284827,16.15176413943949,91.0965267592125,232.7067627824332,16.264670572186482,18630700.0,21333300,447287000
2023-01-17,91.72554779052734,235.99607849121094,17.68750762939453,92.53172690097314,236.54593172373328,17.713487319827372,90.41176317583279,232.79512362957803,16.885165521758307,92.34262015914376,233.65918727061418,16.885165521758307,22935800.0,29831300,511102000
2023-01-18,91.34733581542969,231.53829956054688,17.362775802612305,93.14681132961738,237.98929120508885,17.858368155388927,90.96912991895344,231.25355950265987,17.267852350964912,92.5018710679812,237.19396675189898,17.652537414377978,19641600.0,30028700,439624000
2023-01-19,93.46730041503906,227.72860717773438,16.751272201538086,93.95498836892797,231.25358612173252,17.182919592747304,90.94922076610231,226.50125078588513,16.717301550134714,90.95917575103884,229.5451006306224,17.022050215153467,28707700.0,28623000,452932000
2023-01-20,98.81198120117188,235.8684539794922,17.82439613342285,98.95132061724973,236.37903845699122,17.84138241393569,95.45787263688962,230.26188313206725,16.811226343623662,95.49767738997299,230.60554893050247,16.997072985244962,53704800.0,35389800,564967000
2023-01-23,100.73287963867188,238.1856689453125,19.17728614807129,100.92198637945205,240.72874754062073,19.22924361779151,98.2844773668706,235.30873805800567,17.803411956257197,98.66268325500256,236.7324833169044,18.049208922830783,31791800.0,31934000,655163000
2023-01-24,98.7423095703125,237.65545654296875,19.249225616455078,100.61344425937016,239.53086062869244,19.479038745727824,98.23471165395418,236.08444941515683,18.804590277949554,99.08071071236088,238.1071302689207,18.811584516005322,27391400.0,40234400,496204000
2023-01-25,96.27400970458984,236.25137329101562,19.307180404663086,97.25934063228942,238.8926465935646,19.354142810511668,94.81292767591877,226.71726242697446,18.56478866094539,96.74178770521466,230.23241286471827,18.89751622008394,31000900.0,66526600,449537000
2023-01-26,98.69255065917969,243.5074920654297,19.785789489746094,98.74231039669573,243.81187403333118,20.149491827776068,96.36357777137192,237.61618177352415,19.262218285340538,97.8166942324974,239.23628611084743,19.68487233931353,24542100.0,33454500,489535000
2023-01-27,100.23523712158203,243.66461181640625,20.34832763671875,101.10113854540126,245.30435814766528,20.61111281542293,98.50344186737202,242.3587028258491,19.38911447092714,98.58306655785783,244.4795782533274,19.446067014153495,29020400.0,26498900,542142000
2023-01-30,97.48824310302734,238.3133544921875,19.14631462097168,98.94036475098629,241.151002013822,20.123512763635727,97.06026989637677,237.81258347035998,19.134323407436817,98.27950110151227,240.08073579959722,19.933669670014947,24365100.0,25867400,488611000
2023-01-31,99.39920806884766,243.32093811035156,19.521007537841797,99.43902041706131,243.45840142159702,19.6708843656897,97.3290115223109,238.5489760451487,18.934488166658255,97.39868123332758,239.03991858279355,19.15430738711603,22306800.0,26541100,498017000
2023-02-01,100.95185089111328,248.1714324951172,20.925851821899414,101.7082703143887,250.55740584151195,21.174646573762274,97.95603815400965,241.02331092985187,19.594941785261792,99.26981526105172,243.50747876870054,19.67487620181203,26392600.0,31259900,660477000
2023-02-02,108.28710174560547,259.8067626953125,21.691225051879883,108.30700412117132,259.89512874467925,21.931028319443673,106.03775363524876,252.58990234951898,20.683052314586803,106.28657509367761,254.13146890622428,20.982805922594803,46622600.0,39940400,564276000
2023-02-03,104.72398376464844,253.67001342773438,21.082725524902344,107.51077973262802,259.4140470711342,21.727197912040786,102.81303665630321,252.44265709216836,20.771979321521542,103.02204578439452,254.83845905637355,20.982807015101592,36823400.0,29077300,429366000
2023-02-06,102.98223114013672,252.11862182617188,21.07172966003418,104.20642851928456,253.62090480368727,21.552334734159007,101.72816880613156,250.1646801008737,20.768976402166963,102.20092808008586,252.77649801588666,20.788960480361574,25573000.0,22518000,452197000
2023-02-07,107.53068542480469,262.71319580078125,22.154848098754883,108.15771278413196,263.90126847590375,22.24077813579431,103.05985695958798,255.36868388280342,21.1326848754413,103.1414711292283,255.81054419875986,21.364495296060316,33738800.0,50841400,664150000
2023-02-08,99.5285873413086,261.89825439453125,22.186819076538086,103.0917125905503,271.7465619102977,22.859268377946858,97.99087248930825,261.3876549048757,21.989979871627146,102.20590877068695,268.25105293927203,22.36866926710401,73546000.0,54686000,559651000
2023-02-09,95.0099868774414,258.844482421875,22.31871223449707,100.13571055317259,269.01682516976877,23.00115361559773,93.41753102694793,258.0393296438196,22.101890841134466,100.06604084700814,268.8400631214715,22.587493006154816,97798600.0,42375100,523876000
2023-02-10,94.41281127929688,258.333984375,21.247589111328125,96.56262465151482,259.30604106753316,22.059923209964126,94.08436514397408,255.938182254322,20.79396224758763,95.28866004672967,256.7924175253064,21.672242294842736,49325300.0,25818500,550737000
2023-02-13,94.55215454101562,266.4050598144531,21.770158767700195,94.9005030653758,269.62564159022224,22.02994609258764,93.6066360329768,262.3105859582913,20.944834933269593,94.5621095255483,262.79173001037145,21.520363482899203,43116600.0,44630900,474919000
2023-02-14,94.50239562988281,267.23968505859375,22.952192306518555,94.72634103796074,269.9889513959728,23.03012755681978,92.21324255629635,264.40202269183845,21.348505011824344,94.21376939358002,267.7306276163226,21.56033132218114,42513100.0,37047900,675474000
2023-02-15,96.64225006103516,265.1036376953125,22.745361328125,96.88111652786327,266.49156688669603,22.8362864231292,93.91516908391556,262.01278189893924,22.087901043076933,94.29337495584576,264.11929330764815,22.53053721244562,36964500.0,28922400,420575000
2023-02-16,95.32847595214844,258.0458679199219,21.983985900878906,97.41857468456848,262.5640049267377,22.531535636340326,94.52229685661901,257.79978182996587,21.90904654743779,95.089609478182,259.88658706642394,22.11487725263338,35642100.0,29603600,412026000
2023-02-17,94.14408111572266,254.0198974609375,21.370487213134766,95.29861630007824,256.0181152654841,21.72219826611611,93.00945589988527,251.9921505278432,20.957825285879114,94.62182164559383,255.32909225276762,21.613288266361437,31095100.0,30000100,465888000
2023-02-21,91.61607360839844,248.7143096923828,20.638090133666992,92.97463678728393,251.49016824327242,21.47640202756458,91.56630627413868,247.6512158869296,20.60111977052066,92.80045871080388,250.49597073877874,20.982806991007344,28367200.0,28397400,410015000
2023-02-22,91.36724853515625,247.5724639892578,20.737009048461914,91.9246062085135,250.35816054888014,21.08672289537773,90.44163234565723,246.42078280013976,20.40428148237051,91.500611925036,250.11207443958386,20.690048547419124,29891100.0,22491100,513184000
2023-02-23,90.64068603515625,250.78143310546875,23.644624710083008,91.6956866525768,252.8190182527777,23.86844224060142,89.5856854177357,246.55858711540606,23.00614795090794,91.6956866525768,251.559058591663,23.42080908535159,32423700.0,29219100,1117995000
2023-02-24,88.92878723144531,245.31829833984375,23.266935348510742,89.70510896249682,247.07043006861863,23.454783066670746,88.4410993017847,244.21583748216142,22.928214087929295,89.20746604839424,246.04671856075686,23.205986370917074,31295600.0,24990900,589716000
2023-02-27,89.67525482177734,246.2436065673828,23.48175811767578,90.02360335546858,248.86196635972186,23.86044752352484,89.18756687460962,245.48565714962064,23.43479762020704,89.66529983697802,248.50760176361655,23.65062037481705,22724300.0,21190000,452994000
2023-02-28,89.87431335449219,245.5151824951172,23.196990966796875,91.01888598257007,247.5527826462789,23.805493492684064,89.09798402975161,244.83598244472995,23.18699892583366,89.11789399864223,245.17067096137697,23.352863375406507,30546900.0,22491000,455963000
2023-03-01,90.08332061767578,242.41448974609375,22.679414749145508,90.7700626617366,247.00152304863036,23.236958420824973,89.42642833948149,241.94199363895714,22.489569788217572,89.73497210352491,246.8341863098164,23.17300974177125,26323900.0,27565300,460026000
2023-03-02,91.87483215332031,247.17872619628906,23.294912338256836,92.04403651471844,247.46417946735576,23.360858289754244,89.34680524447734,241.76483192375827,22.41363444953809,89.43638491738555,242.69011807533903,22.469590264985175,23328600.0,24808200,389415000
2023-03-03,93.57676696777344,251.2932586669922,23.870439529418945,93.66634663777482,251.61809409992222,23.88043157064552,92.22318527450915,247.45432176855098,23.111061548282237,92.3028023669873,248.24180024051145,23.300906520013164,30242500.0,30760100,412393000
2023-03-06,95.12942504882812,252.84852600097656,23.534717559814453,95.8460320884577,256.04764510840005,24.22814773094674,93.85546035323266,251.972460138509,23.467771069999735,93.91517507539227,252.41541208786404,23.87144155642439,28288200.0,24109800,437429000
2023-03-07,93.72607421875,250.171142578125,23.272884368896484,95.63702138219357,253.6557304344605,24.109340983531098,93.40161458962325,249.42304618349874,23.225913991146093,94.97018163142353,252.28747719365353,23.58468213091472,24101500.0,21473200,515154000
2023-03-08,94.20380401611328,249.72816467285156,24.165307998657227,95.78630481892661,250.55501034221174,24.184296675428683,93.95995625752542,246.88341003286706,23.40879926857115,93.95995625752542,250.06283815522548,23.471758111550603,25395200.0,17340200,513573000
2023-03-09,92.22319030761719,248.36978149414062,23.42078971862793,95.46781670437458,255.49642520187024,24.43812863634961,91.91962782028254,247.6413612448282,23.367822715310396,94.04455763819666,251.81498682862087,24.15930848577099,24438900.0,26653400,501257000
2023-03-10,90.58097076416016,244.69815063476562,22.950092315673828,92.74073931800866,248.83239377023597,23.61166323098952,90.37196163895824,243.72365937177543,22.71124714341151,92.06394461064731,247.14917339603343,23.393804334985997,32850100.0,28333900,474866000
2023-03-13,91.22791290283203,249.94471740722656,22.951091766357422,92.64121711517166,253.87225680008146,23.282876988335172,89.51601987112868,241.88293471762614,22.282527312833135,90.13807358361221,243.52678799195508,22.73723188407138,31508600.0,33339700,421890000
2023-03-14,93.80569458007812,256.7071533203125,24.047380447387695,94.38296221530149,256.9827685172578,24.20327932512599,92.34262311544556,251.8543282071445,23.444771213854455,92.63125693305724,252.73039401598515,23.48074905093903,32303900.0,33620300,474910000
2023-03-15,96.09485626220703,261.28436279296875,24.212276458740234,96.79155335178928,262.30808931293495,24.27023747433623,92.60140064232174,255.15188676906854,23.344839767755705,93.09904359014584,255.90985113280536,23.74557858510268,38367300.0,46028000,524486000
2023-03-16,100.59354400634766,271.87591552734375,25.52442169189453,101.48930282075987,272.23026506647096,25.57139016249906,95.41806044618829,259.1581735865581,23.878489494645066,96.11475752771521,261.0579509308683,24.011404490940855,54499500.0,54768800,583253000
2023-03-17,101.97698974609375,275.0553283691406,25.708303451538086,103.00213298143821,278.89426524045854,26.381865775250695,100.27505181264394,271.9940319281041,25.65133933448188,100.36462389646458,273.90366232764774,25.965136614007125,76140300.0,69527400,848547000
2023-03-20,101.44949340820312,267.96807861328125,25.883190155029297,102.0964307702903,273.1358865548913,26.00711022624769,100.31486807494271,265.6253342067157,25.113689438376866,100.58359193032379,272.643714369976,25.598375276520795,26033900.0,43466600,432747000
2023-03-21,105.34104919433594,269.4938659667969,26.181995391845703,105.46048622824132,270.69476759188797,26.37487092143437,101.37981582099496,265.30054831790585,25.364527413942184,101.49925285490033,270.57665104512716,26.163008623155417,33122800.0,34558700,547408000
2023-03-22,103.72869873046875,268.02716064453125,26.450822830200195,107.00319028480114,276.64017464446556,27.571095597302328,103.71874374521104,267.91886713354575,26.21997184820259,104.64435994502796,269.1197685728432,26.407849562791487,32336900.0,34873300,797295000
2023-03-23,105.75907897949219,273.3131103515625,27.173351287841797,106.59611020702042,276.6598758012789,27.481151940364768,104.91308750622107,270.89163117862455,26.672677017823016,105.39082047288845,273.58872562295534,27.097400403214937,31385800.0,36610900,564889000
